date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:30:10	103/103	---M-Z	200	added ('OK')	text/plain	etag:%228665b5cf645d91b4b68cbac0900eb440%22	https://deliciifeminine.framer.website/robots.txt		(from )
09:30:10	1102833/1102833	---M-Z	200	added ('OK')	text/html	etag:%22fe08b7e6be01b431771dd1f791d22656%22	https://deliciifeminine.framer.website/	C:/My%20Web%20Sites/DeliciiFeminine/deliciifeminine.framer.website/index.html	(from )
09:30:10	7280/7280	---MC-	200	added ('OK')	image/png	etag:%2281b32d53d1e1f8e3c863b9e8055a447d%22	https://framerusercontent.com/images/ZM1wm0WW3mOOuxmdUxSCwllE8g.png	C:/My%20Web%20Sites/DeliciiFeminine/framerusercontent.com/images/ZM1wm0WW3mOOuxmdUxSCwllE8g.png	(from https://deliciifeminine.framer.website/)
09:30:10	532400/532400	---MC-	200	added ('OK')	image/png	etag:%228ddd09003fa3605dc8651ad0ea1cf236%22	https://framerusercontent.com/images/3n84DUfsSSWnZL8KBrRU4CKpeC4.png	C:/My%20Web%20Sites/DeliciiFeminine/framerusercontent.com/images/3n84DUfsSSWnZL8KBrRU4CKpeC4.png	(from https://deliciifeminine.framer.website/)
09:30:11	4775/4775	---MC-	200	added ('OK')	image/jpeg	etag:%2261f40d714a8581c5755ee544f0762e8a%22	https://framerusercontent.com/images/IghWijoGvU368b6j3AeZRkhA.jpg	C:/My%20Web%20Sites/DeliciiFeminine/framerusercontent.com/images/IghWijoGvU368b6j3AeZRkhA.jpg	(from https://deliciifeminine.framer.website/)
09:30:11	428107/428107	---M-Z	200	added ('OK')	text/html	etag:%22daa9a197944593b6fd7f161fde58bbcd%22	https://deliciifeminine.framer.website/despre-mine	C:/My%20Web%20Sites/DeliciiFeminine/deliciifeminine.framer.website/despre-mine.html	(from https://deliciifeminine.framer.website/)
09:30:12	305413/305413	---M-Z	200	added ('OK')	text/html	etag:%22e61829067e4acedf83d1f908948f85d7%22	https://deliciifeminine.framer.website/contact	C:/My%20Web%20Sites/DeliciiFeminine/deliciifeminine.framer.website/contact.html	(from https://deliciifeminine.framer.website/)
09:30:12	4686/4686	---MC-	200	added ('OK')	image/jpeg	etag:%224ce4acb7941ca4a5b1a222c4dfe049b6%22	https://framerusercontent.com/images/REtbtsLDKfQdFAwvyivrd3ZBLI.jpg	C:/My%20Web%20Sites/DeliciiFeminine/framerusercontent.com/images/REtbtsLDKfQdFAwvyivrd3ZBLI.jpg	(from https://deliciifeminine.framer.website/)
09:30:12	18322/18322	---MC-	200	added ('OK')	image/jpeg	etag:%2203c535c43bc793234f78ed436a70827a%22	https://framerusercontent.com/images/cah6Ftxu4ttxo4jHtokJBnbAD0.jpg	C:/My%20Web%20Sites/DeliciiFeminine/framerusercontent.com/images/cah6Ftxu4ttxo4jHtokJBnbAD0.jpg	(from https://deliciifeminine.framer.website/)
09:30:13	99557/99557	---MC-	200	added ('OK')	image/gif	etag:%22fbd878d4eb4ba1bd3c62c62666c49710%22	https://framerusercontent.com/images/7c2JsEDVFIjtbcFnvLvzQkeAito.gif	C:/My%20Web%20Sites/DeliciiFeminine/framerusercontent.com/images/7c2JsEDVFIjtbcFnvLvzQkeAito.gif	(from https://deliciifeminine.framer.website/)
09:30:14	107976/107976	---MC-	200	added ('OK')	image/png	etag:%2255d17a9518bfa56ac72c6f70fe7ceb0a%22	https://framerusercontent.com/images/l8414Esa2NRno62GqjABjxU5tMg.png	C:/My%20Web%20Sites/DeliciiFeminine/framerusercontent.com/images/l8414Esa2NRno62GqjABjxU5tMg.png	(from https://deliciifeminine.framer.website/)
09:30:15	79872/79872	---MC-	200	added ('OK')	image/png	etag:%228c411fbd5c1a074b56b72a95dcb58ecb%22	https://framerusercontent.com/images/7G55zj6eFcwmcbm50F5AophIg0c.png	C:/My%20Web%20Sites/DeliciiFeminine/framerusercontent.com/images/7G55zj6eFcwmcbm50F5AophIg0c.png	(from https://deliciifeminine.framer.website/)
09:30:15	18265/18265	---MC-	200	added ('OK')	image/jpeg	etag:%228c4cb40cb22101f178acfd30c69e093f%22	https://framerusercontent.com/images/U799KypzQ1oX0LMDYJ6SQ9N7pY.jpg	C:/My%20Web%20Sites/DeliciiFeminine/framerusercontent.com/images/U799KypzQ1oX0LMDYJ6SQ9N7pY.jpg	(from https://deliciifeminine.framer.website/)
09:30:16	60959/60959	---MC-	200	added ('OK')	image/png	etag:%229833fd6a3d7e991459c77b62103e24a9%22	https://framerusercontent.com/images/zyF6P5bO5iZsZt6Kv68BZDcLe8.png	C:/My%20Web%20Sites/DeliciiFeminine/framerusercontent.com/images/zyF6P5bO5iZsZt6Kv68BZDcLe8.png	(from https://deliciifeminine.framer.website/)
09:30:17	338614/338614	---M-Z	200	added ('OK')	text/html	etag:%228efdf9c904597e7995b922e382becb92%22	https://deliciifeminine.framer.website/calendarul-feminitatii	C:/My%20Web%20Sites/DeliciiFeminine/deliciifeminine.framer.website/calendarul-feminitatii.html	(from https://deliciifeminine.framer.website/)
09:30:18	346323/346323	---MC-	200	added ('OK')	image/png	etag:%22db1523b7a4c034c77bf2db24d3ddb90d%22	https://framerusercontent.com/images/e1ydhq6lE1ndjlWEsYvMvyZAj1c.png	C:/My%20Web%20Sites/DeliciiFeminine/framerusercontent.com/images/e1ydhq6lE1ndjlWEsYvMvyZAj1c.png	(from https://deliciifeminine.framer.website/)
09:30:19	415748/415748	---M-Z	200	added ('OK')	text/html	etag:%22c4b06cb62c791600e0ce9df50e92ee8a%22	https://deliciifeminine.framer.website/produse/jurnal-pentru-suflet-de-femeie	C:/My%20Web%20Sites/DeliciiFeminine/deliciifeminine.framer.website/produse/jurnal-pentru-suflet-de-femeie.html	(from https://deliciifeminine.framer.website/)
09:30:21	392301/392301	---MC-	200	added ('OK')	image/png	etag:%2203125fa15636b0606373546f93b9d670%22	https://framerusercontent.com/images/PXznEeFUWSGoJxevw1Y6of4JI6Q.png	C:/My%20Web%20Sites/DeliciiFeminine/framerusercontent.com/images/PXznEeFUWSGoJxevw1Y6of4JI6Q.png	(from https://deliciifeminine.framer.website/)
09:30:21	341368/341368	---M-Z	200	added ('OK')	text/html	etag:%22a7df6cc6d3b0003acb5f63380fc12110%22	https://deliciifeminine.framer.website/meditatie	C:/My%20Web%20Sites/DeliciiFeminine/deliciifeminine.framer.website/meditatie.html	(from https://deliciifeminine.framer.website/)
09:30:23	424002/424002	---MC-	200	added ('OK')	image/png	etag:%22c9b80963941046b1e48d39bcbc7fe787%22	https://framerusercontent.com/images/Do6h9dd2nyiOLYhyIWihFakk.png	C:/My%20Web%20Sites/DeliciiFeminine/framerusercontent.com/images/Do6h9dd2nyiOLYhyIWihFakk.png	(from https://deliciifeminine.framer.website/)
09:30:24	236017/236017	---MC-	200	added ('OK')	image/png	etag:%22234860c9652778b6cb8700ab3e5a96dd%22	https://framerusercontent.com/images/6QheERMsMwNN9PDpNj5gbaLfUlc.png	C:/My%20Web%20Sites/DeliciiFeminine/framerusercontent.com/images/6QheERMsMwNN9PDpNj5gbaLfUlc.png	(from https://deliciifeminine.framer.website/)
